PRV000001;lake;37;131;175;2122.28002929688;558.780029296875;lakes
PRV000002;lake;67;106;110;2084.0;576.0;lakes
PRV000003;lake;64;88;117;5463.52978515625;1230.61999511719;lakes
PRV000004;lake;58;174;188;5501.2099609375;1270.75;lakes
PRV000005;lake;53;160;102;5600.18994140625;1268.94995117188;lakes
PRV000006;lake;35;133;151;5570.81005859375;1276.05004882813;lakes
PRV000007;lake;75;142;168;5456.0;1289.0;lakes
PRV000008;lake;57;112;123;5456.22998046875;1306.25;lakes
PRV000009;lake;33;167;196;5597.5;1300.68005371094;lakes
PRV000010;lake;62;175;126;5498.0;1296.0;lakes
PRV000011;lake;10;92;179;5304.2099609375;1320.83996582031;lakes
PRV000012;lake;49;105;197;5479.2998046875;1379.94995117188;lakes
PRV000013;lake;71;166;181;5645.33984375;1380.5;lakes
PRV000014;lake;12;163;165;1583.30004882813;1406.33996582031;lakes
PRV000015;lake;74;149;170;6276.66015625;1410.91003417969;lakes
PRV000016;lake;43;136;182;5450.39990234375;1426.31994628906;lakes
PRV000017;lake;59;164;110;5437.6201171875;1430.94995117188;lakes
PRV000018;lake;71;119;121;6418.18994140625;1443.46997070313;lakes
PRV000019;lake;47;122;135;1428.68994140625;1437.92004394531;lakes
PRV000020;lake;71;108;126;1428.18994140625;1443.5;lakes
PRV000021;lake;24;158;138;5238.8798828125;1450.2099609375;lakes
PRV000022;lake;61;116;165;6302.9599609375;1463.71997070313;lakes
PRV000023;lake;2;149;142;1671.16003417969;1474.08996582031;lakes
PRV000024;lake;30;113;175;1428.26000976563;1504.69995117188;lakes
PRV000025;lake;40;96;185;1964.35998535156;1499.36999511719;lakes
PRV000026;lake;68;129;155;1436.5;1497.0;lakes
PRV000027;lake;0;149;121;6379.58984375;1504.85998535156;lakes
PRV000028;lake;53;165;122;6367.35009765625;1506.92004394531;lakes
PRV000029;lake;74;85;159;1316.94995117188;1510.08996582031;lakes
PRV000030;lake;8;103;175;1931.96997070313;1510.69995117188;lakes
PRV000031;lake;43;170;149;1956.7900390625;1516.2099609375;lakes
PRV000032;lake;70;96;185;1391.97998046875;1519.59997558594;lakes
PRV000033;lake;70;124;138;1934.0;1522.0;lakes
PRV000034;lake;5;80;111;1937.0;1522.0;lakes
PRV000035;lake;8;113;182;508.260009765625;1530.56994628906;lakes
PRV000036;lake;30;98;142;1933.06994628906;1527.18994140625;lakes
PRV000037;lake;12;150;163;1946.2900390625;1529.86999511719;lakes
PRV000038;lake;19;128;132;6609.31005859375;1534.83996582031;lakes
PRV000039;lake;78;130;123;1953.0;1537.0;lakes
PRV000040;lake;44;152;102;1954.0;1538.0;lakes
PRV000041;lake;53;175;182;505.0;1539.0;lakes
PRV000042;lake;7;157;165;1946.16003417969;1552.90002441406;lakes
PRV000043;lake;40;145;140;1951.0;1551.0;lakes
PRV000044;lake;53;92;181;4884.93994140625;1556.32995605469;lakes
PRV000045;lake;73;137;173;4879.85009765625;1561.60998535156;lakes
PRV000046;lake;40;170;121;4890.97021484375;1563.43994140625;lakes
PRV000047;lake;7;154;154;6605.72998046875;1561.42004394531;lakes
PRV000048;lake;10;118;149;1408.7099609375;1562.2900390625;lakes
PRV000049;lake;3;116;185;5220.43017578125;1577.17004394531;lakes
PRV000050;lake;62;158;171;1386.0;1564.84997558594;lakes
PRV000051;lake;30;174;193;1693.0;1570.35998535156;lakes
PRV000052;lake;77;141;125;1308.73999023438;1570.89001464844;lakes
PRV000053;lake;60;81;167;1691.0;1568.0;lakes
PRV000054;lake;24;102;130;1465.30004882813;1577.43005371094;lakes
PRV000055;lake;77;163;172;1365.32995605469;1574.67004394531;lakes
PRV000056;lake;29;152;139;1492.10998535156;1577.56005859375;lakes
PRV000057;lake;5;148;181;1677.63000488281;1580.06994628906;lakes
PRV000058;lake;40;110;156;1391.19995117188;1577.0;lakes
PRV000059;lake;63;138;174;1367.0;1576.5;lakes
